mechanism_axis,device_class,n_papers
architecture,all_perovskite_tandem,7
architecture,perovskite_silicon_tandem,7
architecture,single_junction,7
composition,all_perovskite_tandem,1
composition,single_junction,31
defects,all_perovskite_tandem,2
defects,module,2
defects,single_junction,40
interfaces,module,3
interfaces,perovskite_silicon_tandem,3
interfaces,single_junction,31
scale_up,all_perovskite_tandem,1
scale_up,module,2
scale_up,single_junction,8
stability,all_perovskite_tandem,1
stability,module,3
stability,single_junction,20
