work_key,doi,device_class,pce_champion,pce_certified,included_in_figure,exclusion_reason
10.1021/acsami.5c23126,10.1021/acsami.5c23126,single_junction,22.67,,1,
10.1002/pip.70069,10.1002/pip.70069,single_junction,,,0,lens=theory
10.1021/acs.jpclett.5c03597,10.1021/acs.jpclett.5c03597,single_junction,,,1,
10.1002/pip.70070,10.1002/pip.70070,single_junction,22.93,,1,
10.1021/acsaem.5c03918,10.1021/acsaem.5c03918,single_junction,,,1,
10.1021/acsenergylett.5c02410,10.1021/acsenergylett.5c02410,single_junction,,,0,lens=theory
10.1021/acsami.5c22974,10.1021/acsami.5c22974,single_junction,20.41,,1,
10.1021/acsami.5c24570,10.1021/acsami.5c24570,single_junction,,,1,
10.1093/nsr/nwag071,10.1093/nsr/nwag071,single_junction,,,1,
10.1021/acsaem.5c03353,10.1021/acsaem.5c03353,single_junction,,,1,
10.1016/j.solmat.2026.114169,10.1016/j.solmat.2026.114169,perovskite_silicon_tandem,,,1,
10.1021/acsaem.5c03964,10.1021/acsaem.5c03964,single_junction,0.955,,1,
10.1021/acsaem.5c03834,10.1021/acsaem.5c03834,module,,,1,
10.1002/adfm.202530978,10.1002/adfm.202530978,single_junction,23.27,,1,
10.1002/smll.202513111,10.1002/smll.202513111,single_junction,20.55,,0,lens=review
10.1021/acsenergylett.5c03255,10.1021/acsenergylett.5c03255,single_junction,,,0,lens=review
10.1002/smll.202514157,10.1002/smll.202514157,single_junction,,,0,lens=review
10.1002/adfm.202528875,10.1002/adfm.202528875,single_junction,,,0,lens=review
10.1021/acsami.5c24299,10.1021/acsami.5c24299,single_junction,,,1,
10.1016/j.egyr.2025.108961,10.1016/j.egyr.2025.108961,single_junction,,,1,
10.1016/j.matre.2026.100406,10.1016/j.matre.2026.100406,single_junction,20.62,,1,
10.1016/j.rineng.2026.108976,10.1016/j.rineng.2026.108976,single_junction,,,0,lens=review
10.1021/acsomega.5c09561,10.1021/acsomega.5c09561,single_junction,,,0,lens=review
10.3390/app16010501,10.3390/app16010501,single_junction,,,0,lens=review
10.3390/agriculture16020282,10.3390/agriculture16020282,module,,,1,
10.26434/chemrxiv.10001581/v1,10.26434/chemrxiv.10001581/v1,single_junction,12.16,,1,
10.20944/preprints202601.2226.v1,10.20944/preprints202601.2226.v1,single_junction,,,0,lens=review
10.48550/arxiv.2601.07755,10.48550/arxiv.2601.07755,single_junction,,,1,
10.26434/chemrxiv-2026-mdsdz,10.26434/chemrxiv-2026-mdsdz,single_junction,,,0,lens=theory
10.48550/arxiv.2601.11793,10.48550/arxiv.2601.11793,single_junction,,,1,
10.5281/zenodo.18740263,10.5281/zenodo.18740263,single_junction,,,1,
