work_key,doi,device_class,pce_champion,pce_certified,included_in_figure,exclusion_reason
10.1002/inf2.70140,10.1002/inf2.70140,single_junction,26.34,25.9,1,
10.1021/acsnano.5c19968,10.1021/acsnano.5c19968,single_junction,,,1,
10.1002/aenm.202506804,10.1002/aenm.202506804,single_junction,,,1,
10.1002/adma.202523630,10.1002/adma.202523630,single_junction,26.52,,1,
10.1021/acsenergylett.5c04253,10.1021/acsenergylett.5c04253,single_junction,,,1,
10.1002/solr.70310,10.1002/solr.70310,single_junction,21.04,,1,
10.1002/solr.70322,10.1002/solr.70322,single_junction,22.04,,1,
10.1021/acsaem.6c00059,10.1021/acsaem.6c00059,single_junction,,,1,
10.1002/aenm.202506423,10.1002/aenm.202506423,single_junction,25.29,,1,
10.20517/ss.2025.128,10.20517/ss.2025.128,single_junction,,,0,lens=review
10.1038/s41467-026-70848-8,10.1038/s41467-026-70848-8,all_perovskite_tandem,28.16,27.7,1,
10.1002/smll.202514478,10.1002/smll.202514478,single_junction,25.63,,1,
10.1002/smll.202513845,10.1002/smll.202513845,single_junction,22.4,,0,lens=theory
10.1002/solr.202600005,10.1002/solr.202600005,single_junction,24.96,,1,
10.1016/j.jcis.2026.140227,10.1016/j.jcis.2026.140227,single_junction,25.44,,1,
10.1007/s40820-026-02105-y,10.1007/s40820-026-02105-y,single_junction,,,1,
10.1002/advs.202524338,10.1002/advs.202524338,single_junction,21.65,,1,
10.1002/adfm.202532205,10.1002/adfm.202532205,module,,,1,
10.1038/s41467-026-70293-7,10.1038/s41467-026-70293-7,single_junction,,,1,
10.1021/acs.jpclett.6c00119,10.1021/acs.jpclett.6c00119,single_junction,,,0,lens=theory
10.1021/acsaem.6c00375,10.1021/acsaem.6c00375,single_junction,20.69,,1,
10.1021/acs.jpclett.6c00065,10.1021/acs.jpclett.6c00065,single_junction,,,1,
10.1002/solr.70328,10.1002/solr.70328,perovskite_silicon_tandem,,,1,
10.1002/anie.5296449,10.1002/anie.5296449,single_junction,15.42,,1,
10.1002/pip.70077,10.1002/pip.70077,all_perovskite_tandem,21.87,,1,
10.1021/acsenergylett.6c00075,10.1021/acsenergylett.6c00075,single_junction,,,0,lens=theory
10.1002/anie.8473744,10.1002/anie.8473744,single_junction,26.88,,1,
10.1038/s41467-026-70697-5,10.1038/s41467-026-70697-5,single_junction,26.5,,1,
10.1016/j.mattod.2026.103264,10.1016/j.mattod.2026.103264,single_junction,,,0,lens=review
10.1002/anie.2660254,10.1002/anie.2660254,single_junction,25.47,,1,
10.1002/solr.202600009,10.1002/solr.202600009,single_junction,18.11,,0,lens=theory
10.1002/aenm.202506352,10.1002/aenm.202506352,single_junction,,,0,lens=theory
10.1002/aenm.202506803,10.1002/aenm.202506803,single_junction,,,0,lens=theory
10.1002/eem2.70329,10.1002/eem2.70329,single_junction,20.8,,1,
10.1002/flm2.70045,10.1002/flm2.70045,module,27.5,23.0,1,
10.1038/d41586-026-00921-1,10.1038/d41586-026-00921-1,single_junction,,,1,
10.1002/smll.202512864,10.1002/smll.202512864,single_junction,19.5,,1,
10.1021/acsami.6c00384,10.1021/acsami.6c00384,single_junction,20.7,,1,
10.1002/advs.202524311,10.1002/advs.202524311,single_junction,25.54,,1,
10.1021/acsami.5c24915,10.1021/acsami.5c24915,single_junction,25.04,,1,
10.1021/acsaem.5c04098,10.1021/acsaem.5c04098,single_junction,17.07,,1,
10.1002/solr.202600003,10.1002/solr.202600003,single_junction,16.5,,1,
10.1016/j.mtsust.2026.101347,10.1016/j.mtsust.2026.101347,single_junction,21.64,,1,
10.1016/j.decarb.2026.100161,10.1016/j.decarb.2026.100161,module,,,1,
10.1016/j.rineng.2026.109889,10.1016/j.rineng.2026.109889,module,,,1,
10.1016/j.resenv.2026.100328,10.1016/j.resenv.2026.100328,single_junction,,,1,
10.1002/adom.202503341,10.1002/adom.202503341,perovskite_silicon_tandem,,34.85,0,lens=review
10.1021/acsanm.5c05470,10.1021/acsanm.5c05470,single_junction,,,0,lens=review
10.1063/5.0297564,10.1063/5.0297564,module,23.43,,1,
10.48550/arxiv.2603.07829,10.48550/arxiv.2603.07829,single_junction,,,0,lens=theory
10.48550/arxiv.2603.21657,10.48550/arxiv.2603.21657,single_junction,23.67,,1,
10.1063/5.0337228,10.1063/5.0337228,single_junction,,,0,lens=theory
10.48550/arxiv.2603.28289,10.48550/arxiv.2603.28289,single_junction,,,1,
10.20944/preprints202603.0421.v1,10.20944/preprints202603.0421.v1,single_junction,,,1,
10.48550/arxiv.2603.12857,10.48550/arxiv.2603.12857,single_junction,,,0,lens=theory
10.48550/arxiv.2603.20516,10.48550/arxiv.2603.20516,single_junction,,,1,
10.6084/m9.figshare.31659529.v1,10.6084/m9.figshare.31659529.v1,single_junction,,,1,
10.6084/m9.figshare.31659529,10.6084/m9.figshare.31659529,single_junction,,,1,
10.48550/arxiv.2603.02717,10.48550/arxiv.2603.02717,single_junction,,,0,lens=theory
10.26434/chemrxiv.15000872/v1,10.26434/chemrxiv.15000872/v1,single_junction,,,0,lens=theory
10.48550/arxiv.2603.22520,10.48550/arxiv.2603.22520,single_junction,,,0,lens=theory
10.26434/chemrxiv.15000819/v1,10.26434/chemrxiv.15000819/v1,single_junction,,,0,lens=review
10.48550/arxiv.2603.09063,10.48550/arxiv.2603.09063,single_junction,,,0,lens=theory
10.1002/adma.202520577,10.1002/adma.202520577,single_junction,26.2,,0,lens=review
10.1002/aenm.202505717,10.1002/aenm.202505717,single_junction,19.81,,1,
10.1002/aenm.202506810,10.1002/aenm.202506810,single_junction,,,0,lens=review
10.1002/aenm.70910,10.1002/aenm.70910,all_perovskite_tandem,28.67,,1,
10.1002/smll.73319,10.1002/smll.73319,single_junction,25.32,,1,
10.1002/smll.73404,10.1002/smll.73404,all_perovskite_tandem,23.69,,0,lens=theory
10.1002/advs.202524360,10.1002/advs.202524360,single_junction,25.13,,1,
10.1038/s41467-026-72099-z,10.1038/s41467-026-72099-z,all_perovskite_tandem,,21.54,1,
10.1002/aenm.70966,10.1002/aenm.70966,single_junction,26.78,26.44,1,
10.1021/acsenergylett.5c03637,10.1021/acsenergylett.5c03637,single_junction,25.65,,1,
10.1021/acsami.6c02481,10.1021/acsami.6c02481,single_junction,15.23,,1,
10.1002/anie.7579788,10.1002/anie.7579788,single_junction,26.12,,1,
10.1002/adma.73038,10.1002/adma.73038,all_perovskite_tandem,29.36,28.57,1,
10.1002/aenm.70902,10.1002/aenm.70902,perovskite_silicon_tandem,31.66,,1,
10.1038/s41467-026-72160-x,10.1038/s41467-026-72160-x,perovskite_silicon_tandem,33.4,32.45,1,
10.1002/aenm.71005,10.1002/aenm.71005,single_junction,26.62,,1,
10.1002/adfm.75412,10.1002/adfm.75412,single_junction,26.02,,1,
10.20517/energymater.2025.183,10.20517/energymater.2025.183,single_junction,24.18,,1,
10.1002/adma.202522668,10.1002/adma.202522668,all_perovskite_tandem,29.3,,1,
10.1002/smll.73436,10.1002/smll.73436,single_junction,26.47,,1,
10.1002/adma.73036,10.1002/adma.73036,single_junction,26.17,,1,
10.1002/aenm.70922,10.1002/aenm.70922,single_junction,24.08,,1,
10.1002/adma.73011,10.1002/adma.73011,all_perovskite_tandem,28.76,27.99,1,
10.1002/adma.202520251,10.1002/adma.202520251,single_junction,26.61,,1,
10.1002/adfm.202529123,10.1002/adfm.202529123,single_junction,25.56,,1,
10.1002/adfm.75370,10.1002/adfm.75370,single_junction,26.25,,1,
10.1002/adfm.202530317,10.1002/adfm.202530317,single_junction,26.44,,1,
10.1002/adfm.202527584,10.1002/adfm.202527584,single_junction,25.7,,1,
10.1002/adma.202523276,10.1002/adma.202523276,single_junction,18.68,,0,lens=theory
10.1021/acsenergylett.6c00888,10.1021/acsenergylett.6c00888,single_junction,,,0,lens=theory
10.1002/solr.70344,10.1002/solr.70344,single_junction,22.45,,1,
10.1002/solr.70351,10.1002/solr.70351,single_junction,23.75,,1,
10.1002/smll.73566,10.1002/smll.73566,single_junction,11.55,,1,
10.1007/s40820-026-02190-z,10.1007/s40820-026-02190-z,single_junction,25.8,,1,
10.1002/aenm.70991,10.1002/aenm.70991,single_junction,26.1,,1,
10.1021/acsenergylett.6c00507,10.1021/acsenergylett.6c00507,single_junction,24.1,,0,lens=review
10.1002/adfm.75395,10.1002/adfm.75395,all_perovskite_tandem,28.24,,1,
10.1002/adma.73106,10.1002/adma.73106,perovskite_silicon_tandem,34.02,32.81,1,
10.1002/anie.5905435,10.1002/anie.5905435,all_perovskite_tandem,26.63,26.09,1,
10.1002/adfm.75548,10.1002/adfm.75548,single_junction,21.5,,1,
10.1002/advs.202520257,10.1002/advs.202520257,single_junction,,,1,
10.1038/s41467-026-72115-2,10.1038/s41467-026-72115-2,single_junction,26.84,26.79,1,
10.1002/smll.73517,10.1002/smll.73517,single_junction,25.39,,1,
10.1002/adma.73056,10.1002/adma.73056,single_junction,25.63,,1,
10.1021/acsami.6c00997,10.1021/acsami.6c00997,single_junction,24.22,,1,
10.1038/s41565-026-02165-6,10.1038/s41565-026-02165-6,all_perovskite_tandem,30.3,30.3,1,
10.1002/adfm.75311,10.1002/adfm.75311,perovskite_silicon_tandem,31.8,,1,
10.1021/acsenergylett.6c00432,10.1021/acsenergylett.6c00432,single_junction,,,1,
10.1002/anie.202525625,10.1002/anie.202525625,single_junction,25.54,25.36,1,
10.1002/adma.72986,10.1002/adma.72986,all_perovskite_tandem,26.75,,1,
10.1002/anie.9286497,10.1002/anie.9286497,module,26.87,,1,
10.1021/acsami.6c03928,10.1021/acsami.6c03928,single_junction,24.6,,1,
10.1002/adma.73161,10.1002/adma.73161,single_junction,26.33,26.29,1,
10.1038/s41467-026-72272-4,10.1038/s41467-026-72272-4,single_junction,,11.22,1,
10.1002/smll.73439,10.1002/smll.73439,single_junction,,,1,
10.1002/solr.70342,10.1002/solr.70342,single_junction,25.79,,1,
10.1021/acsaem.6c00560,10.1021/acsaem.6c00560,single_junction,,,1,
10.1021/acs.jpclett.6c00826,10.1021/acs.jpclett.6c00826,single_junction,26.13,,1,
10.1002/aenm.70979,10.1002/aenm.70979,single_junction,,,0,lens=review
10.1002/aenm.70945,10.1002/aenm.70945,all_perovskite_tandem,26.06,,1,
10.1007/s40820-026-02173-0,10.1007/s40820-026-02173-0,single_junction,,,0,lens=review
10.1021/acsenergylett.6c00190,10.1021/acsenergylett.6c00190,single_junction,,,1,
10.1002/aenm.70925,10.1002/aenm.70925,single_junction,26.87,26.33,1,
10.1002/anie.3596437,10.1002/anie.3596437,single_junction,27.05,,1,
10.1021/acssuschemeng.5c13860,10.1021/acssuschemeng.5c13860,single_junction,26.31,,1,
10.1002/adfm.75347,10.1002/adfm.75347,single_junction,26.13,,1,
10.1002/adfm.75435,10.1002/adfm.75435,single_junction,26.32,,1,
10.1002/adma.73221,10.1002/adma.73221,single_junction,22.06,,1,
10.1021/acsmaterialslett.5c01685,10.1021/acsmaterialslett.5c01685,single_junction,,,0,lens=review
10.1002/cey2.70241,10.1002/cey2.70241,perovskite_silicon_tandem,,,0,lens=review
10.1038/s41467-026-72094-4,10.1038/s41467-026-72094-4,all_perovskite_tandem,31.04,,1,
10.1002/aenm.70939,10.1002/aenm.70939,single_junction,23.39,,1,
10.1021/acsaem.5c04025,10.1021/acsaem.5c04025,single_junction,,,1,
10.1002/smll.202512808,10.1002/smll.202512808,single_junction,35.54,,0,lens=theory
10.1038/s41467-026-71845-7,10.1038/s41467-026-71845-7,single_junction,27.21,27.02,1,
10.1038/s41467-026-72097-1,10.1038/s41467-026-72097-1,single_junction,,27.03,1,
10.1002/solr.202500809,10.1002/solr.202500809,single_junction,,,0,lens=review
10.1021/acsami.6c02006,10.1021/acsami.6c02006,single_junction,22.83,,0,lens=theory
10.1021/acsenergylett.6c00166,10.1021/acsenergylett.6c00166,perovskite_silicon_tandem,32.15,,1,
10.1021/acsenergylett.6c00617,10.1021/acsenergylett.6c00617,all_perovskite_tandem,28.77,28.53,1,
10.1021/acsenergylett.6c00270,10.1021/acsenergylett.6c00270,perovskite_silicon_tandem,,,1,
10.1007/s40820-026-02147-2,10.1007/s40820-026-02147-2,single_junction,,,0,lens=review
10.1021/jacs.6c02024,10.1021/jacs.6c02024,single_junction,26.9,,1,
10.1002/agt2.70339,10.1002/agt2.70339,single_junction,,,1,
10.1002/adfm.75295,10.1002/adfm.75295,single_junction,26.47,,1,
10.1002/anie.9708831,10.1002/anie.9708831,single_junction,26.76,,1,
10.1021/acs.chemrev.5c00897,10.1021/acs.chemrev.5c00897,single_junction,,,0,lens=review
10.1002/anie.9551164,10.1002/anie.9551164,single_junction,26.53,26.37,1,
10.1002/smll.73568,10.1002/smll.73568,single_junction,21.7,,1,
10.1021/acsami.6c03372,10.1021/acsami.6c03372,single_junction,26.63,,1,
10.1038/s41467-026-71301-6,10.1038/s41467-026-71301-6,single_junction,26.95,26.57,1,
10.1002/anie.202525646,10.1002/anie.202525646,single_junction,26.19,,1,
10.1002/adfm.202524082,10.1002/adfm.202524082,module,,,0,lens=review
10.1016/j.nanoen.2026.111956,10.1016/j.nanoen.2026.111956,single_junction,,,0,lens=review
10.1016/j.cej.2026.176242,10.1016/j.cej.2026.176242,single_junction,7.78,,1,
10.1126/science.aeb7992,10.1126/science.aeb7992,single_junction,,,1,
10.1063/5.0287683,10.1063/5.0287683,single_junction,,,0,lens=review
10.1126/sciadv.aed2200,10.1126/sciadv.aed2200,all_perovskite_tandem,26.3,25.6,1,
10.1021/acs.jpclett.6c00211,10.1021/acs.jpclett.6c00211,single_junction,23.5,,1,
10.1002/ente.202502317,10.1002/ente.202502317,single_junction,27.61,,1,
10.1021/acsaem.5c04101,10.1021/acsaem.5c04101,single_junction,,,1,
10.1002/smll.73353,10.1002/smll.73353,single_junction,26.1,,1,
10.1038/s41467-026-71389-w,10.1038/s41467-026-71389-w,single_junction,,,0,lens=theory
10.1002/adfm.75386,10.1002/adfm.75386,single_junction,25.4,,1,
10.1002/smll.73348,10.1002/smll.73348,single_junction,25.24,,1,
10.1002/aenm.70901,10.1002/aenm.70901,single_junction,,,1,
10.1021/acsenergylett.6c00044,10.1021/acsenergylett.6c00044,single_junction,16.33,,1,
10.1002/advs.202522103,10.1002/advs.202522103,module,,,0,lens=review
10.1002/adma.202523053,10.1002/adma.202523053,single_junction,,,0,lens=review
10.1021/acsenergylett.6c00983,10.1021/acsenergylett.6c00983,single_junction,25.1,,1,
10.1021/acs.jpclett.6c00258,10.1021/acs.jpclett.6c00258,single_junction,,,0,lens=theory
10.1002/smll.73351,10.1002/smll.73351,single_junction,23.1,,1,
10.1002/solr.70354,10.1002/solr.70354,single_junction,13.84,,1,
10.1038/s41467-026-72159-4,10.1038/s41467-026-72159-4,single_junction,,26.48,1,
10.1021/acsami.6c02081,10.1021/acsami.6c02081,single_junction,,,0,lens=review
10.1021/acsami.6c00645,10.1021/acsami.6c00645,single_junction,14.51,,1,
10.1002/advs.202523042,10.1002/advs.202523042,single_junction,22.2,,1,
10.1002/ente.70483,10.1002/ente.70483,single_junction,13.41,,0,lens=theory
10.1002/smll.73482,10.1002/smll.73482,single_junction,22.56,,1,
10.1002/smll.73539,10.1002/smll.73539,single_junction,25.37,,1,
10.1002/solr.70353,10.1002/solr.70353,module,23.3,,1,
10.1126/sciadv.aec3238,10.1126/sciadv.aec3238,single_junction,26.59,25.55,1,
10.1021/acsami.5c22628,10.1021/acsami.5c22628,single_junction,,,1,
10.1002/ece2.70059,10.1002/ece2.70059,perovskite_silicon_tandem,,,1,
10.1002/anie.3069691,10.1002/anie.3069691,single_junction,,,1,
10.1021/acs.jpclett.6c00345,10.1021/acs.jpclett.6c00345,single_junction,25.8,,1,
10.1002/solr.70333,10.1002/solr.70333,single_junction,,,1,
10.1002/solr.70323,10.1002/solr.70323,single_junction,22.17,,1,
10.1021/acs.jpclett.6c00617,10.1021/acs.jpclett.6c00617,single_junction,,,1,
10.1021/acsaem.6c00280,10.1021/acsaem.6c00280,single_junction,17.45,,1,
10.1002/solr.70358,10.1002/solr.70358,single_junction,17.61,,1,
10.1002/advs.74909,10.1002/advs.74909,module,,,0,lens=theory
10.1021/acsami.5c26214,10.1021/acsami.5c26214,single_junction,25.46,,1,
10.1002/advs.75257,10.1002/advs.75257,single_junction,,,0,lens=review
10.1002/ente.202502597,10.1002/ente.202502597,single_junction,15.5,,1,
10.1021/acsami.6c04956,10.1021/acsami.6c04956,single_junction,26.06,,1,
10.1016/j.rineng.2026.110377,10.1016/j.rineng.2026.110377,single_junction,12.53,,1,
10.1088/2752-5724/ae628f,10.1088/2752-5724/ae628f,single_junction,,,1,
10.1021/accountsmr.5c00344,10.1021/accountsmr.5c00344,single_junction,,,0,lens=review
10.1002/cey2.70236,10.1002/cey2.70236,single_junction,25.4,,1,
10.1038/s41467-026-71582-x,10.1038/s41467-026-71582-x,single_junction,,,1,
10.1021/acsaem.6c00491,10.1021/acsaem.6c00491,single_junction,25.06,,0,lens=theory
10.1021/acsami.6c03670,10.1021/acsami.6c03670,single_junction,23.64,,1,
10.1063/5.0312565,10.1063/5.0312565,single_junction,,,0,lens=review
10.1016/j.solmat.2026.114315,10.1016/j.solmat.2026.114315,single_junction,,,1,
10.1038/s41524-026-01995-1,10.1038/s41524-026-01995-1,single_junction,,,1,
10.1002/smtd.70654,10.1002/smtd.70654,module,41.6,,1,
10.1088/2399-1984/ae642d,10.1088/2399-1984/ae642d,single_junction,,,0,lens=review
10.5281/zenodo.19467414,10.5281/zenodo.19467414,single_junction,,,1,
10.22541/au.177516296.69014470/v1,10.22541/au.177516296.69014470/v1,single_junction,24.32,,1,
10.48550/arxiv.2604.24098,10.48550/arxiv.2604.24098,perovskite_silicon_tandem,,,1,
10.26434/chemrxiv.15001694/v1,10.26434/chemrxiv.15001694/v1,all_perovskite_tandem,32.1,,0,lens=theory
10.48550/arxiv.2604.06555,10.48550/arxiv.2604.06555,single_junction,,,0,lens=theory
10.48550/arxiv.2604.13768,10.48550/arxiv.2604.13768,single_junction,,,0,lens=theory
10.48550/arxiv.2604.18865,10.48550/arxiv.2604.18865,single_junction,,,1,
10.26434/chemrxiv.15002575/v1,10.26434/chemrxiv.15002575/v1,single_junction,,,1,
10.26434/chemrxiv.15002140/v1,10.26434/chemrxiv.15002140/v1,single_junction,,,1,
10.5281/zenodo.19862185,10.5281/zenodo.19862185,single_junction,,,0,lens=theory
10.5281/zenodo.19862184,10.5281/zenodo.19862184,single_junction,,,0,lens=theory
10.48550/arxiv.2604.13442,10.48550/arxiv.2604.13442,single_junction,,,1,
10.1021/acs.jpcc.6c03620,10.1021/acs.jpcc.6c03620,single_junction,,,1,
10.48550/arxiv.2604.11264,10.48550/arxiv.2604.11264,single_junction,23.62,,0,lens=theory
10.20944/preprints202604.1508.v1,10.20944/preprints202604.1508.v1,single_junction,,,1,
10.48550/arxiv.2604.07262,10.48550/arxiv.2604.07262,single_junction,,,1,
10.1002/adma.73358,10.1002/adma.73358,single_junction,26.89,26.64,1,
10.1007/s40820-026-02244-2,10.1007/s40820-026-02244-2,single_junction,26.1,,1,
10.1002/adfm.202532110,10.1002/adfm.202532110,single_junction,26.15,,1,
10.1002/adma.73382,10.1002/adma.73382,single_junction,26.31,26.07,1,
10.1021/acsenergylett.6c00785,10.1021/acsenergylett.6c00785,single_junction,,,1,
10.1002/adma.73306,10.1002/adma.73306,single_junction,26.77,26.71,1,
10.1002/adma.73502,10.1002/adma.73502,module,21.56,,1,
10.1038/s41467-026-73269-9,10.1038/s41467-026-73269-9,single_junction,,,1,
10.1002/adfm.75644,10.1002/adfm.75644,single_junction,,,1,
10.1002/adfm.75824,10.1002/adfm.75824,single_junction,,,1,
10.1002/adfm.75664,10.1002/adfm.75664,single_junction,14.34,,1,
10.1002/adfm.76110,10.1002/adfm.76110,single_junction,25.05,,1,
10.1002/adma.73286,10.1002/adma.73286,single_junction,26.7,26.64,1,
10.1038/s41467-026-72790-1,10.1038/s41467-026-72790-1,single_junction,26.71,26.15,1,
10.1002/ece2.70082,10.1002/ece2.70082,single_junction,25.37,,1,
10.1002/adfm.75843,10.1002/adfm.75843,single_junction,26.15,,1,
10.1002/aenm.70997,10.1002/aenm.70997,single_junction,,,0,lens=review
10.1038/s41467-026-71017-7,10.1038/s41467-026-71017-7,all_perovskite_tandem,29.8,23.47,1,
10.1038/s41467-026-73210-0,10.1038/s41467-026-73210-0,all_perovskite_tandem,29.95,29.44,1,
10.1021/acsenergylett.6c00227,10.1021/acsenergylett.6c00227,all_perovskite_tandem,28.43,28.34,1,
10.1002/adma.73373,10.1002/adma.73373,single_junction,26.31,25.85,1,
10.1002/adfm.75697,10.1002/adfm.75697,single_junction,27.1,26.4,1,
10.1002/adfm.76198,10.1002/adfm.76198,single_junction,26.55,,1,
10.1038/s41467-026-72794-x,10.1038/s41467-026-72794-x,perovskite_silicon_tandem,33.84,33.5,1,
10.1038/s41467-026-73426-0,10.1038/s41467-026-73426-0,single_junction,27.1,26.9,0,lens=theory
10.1007/s40820-026-02225-5,10.1007/s40820-026-02225-5,single_junction,44.36,,1,
10.1002/adma.202519143,10.1002/adma.202519143,single_junction,15.27,,1,
10.1021/acsenergylett.6c00737,10.1021/acsenergylett.6c00737,single_junction,26.2,,1,
10.1016/j.joule.2026.102488,10.1016/j.joule.2026.102488,single_junction,,,1,
10.1002/smll.73891,10.1002/smll.73891,single_junction,26.41,,1,
10.1002/anie.3920745,10.1002/anie.3920745,single_junction,26.33,25.98,1,
10.1002/adfm.75743,10.1002/adfm.75743,single_junction,26.07,,1,
10.1002/aenm.71068,10.1002/aenm.71068,single_junction,26.87,26.31,1,
10.1021/acsenergylett.6c00820,10.1021/acsenergylett.6c00820,single_junction,21.1,20.62,1,
10.1021/acsenergylett.6c00867,10.1021/acsenergylett.6c00867,single_junction,26.06,,1,
10.1002/aenm.70883,10.1002/aenm.70883,module,,,1,
10.1002/aenm.71111,10.1002/aenm.71111,single_junction,26.62,,1,
10.1002/cnl2.70171,10.1002/cnl2.70171,single_junction,,,0,lens=review
10.1002/adma.73529,10.1002/adma.73529,single_junction,27.07,26.85,1,
10.1038/s41586-026-10626-0,10.1038/s41586-026-10626-0,single_junction,27.41,27.41,1,
10.1038/s41467-026-73656-2,10.1038/s41467-026-73656-2,perovskite_silicon_tandem,24.05,33.04,1,
10.1021/acsenergylett.6c00952,10.1021/acsenergylett.6c00952,single_junction,9.1,,1,
10.1038/s41467-026-72793-y,10.1038/s41467-026-72793-y,single_junction,26.34,26.27,1,
10.1126/sciadv.aec4431,10.1126/sciadv.aec4431,all_perovskite_tandem,33.63,33.48,1,
10.1038/s41560-026-02068-9,10.1038/s41560-026-02068-9,perovskite_silicon_tandem,24.3,,1,
10.1016/j.hybadv.2026.100672,10.1016/j.hybadv.2026.100672,single_junction,,,0,lens=review
10.1002/adma.73390,10.1002/adma.73390,single_junction,25.41,,1,
10.1002/smll.73595,10.1002/smll.73595,all_perovskite_tandem,29.05,,1,
10.1021/acs.jpclett.6c00745,10.1021/acs.jpclett.6c00745,single_junction,25.31,,1,
10.1002/solr.70367,10.1002/solr.70367,single_junction,,,0,lens=theory
10.1021/acsenergylett.6c00575,10.1021/acsenergylett.6c00575,single_junction,,,0,lens=review
10.1007/s40243-026-00371-9,10.1007/s40243-026-00371-9,single_junction,32.41,,0,lens=theory
10.1002/anie.3088935,10.1002/anie.3088935,single_junction,26.07,,1,
10.1002/cey2.70209,10.1002/cey2.70209,single_junction,,,0,lens=review
10.1002/aenm.71107,10.1002/aenm.71107,perovskite_silicon_tandem,33.74,33.37,1,
10.1088/2752-5724/ae74eb,10.1088/2752-5724/ae74eb,single_junction,,,0,lens=review
10.1002/adma.73539,10.1002/adma.73539,single_junction,26.41,,1,
10.1002/cey2.70260,10.1002/cey2.70260,single_junction,23.48,,1,
10.1002/adfm.75673,10.1002/adfm.75673,single_junction,21.36,,1,
10.1016/j.esci.2026.100601,10.1016/j.esci.2026.100601,module,,18.48,1,
10.1002/solr.202600004,10.1002/solr.202600004,single_junction,22.4,,1,
10.1002/smll.73854,10.1002/smll.73854,single_junction,18.52,,1,
10.1002/smll.73886,10.1002/smll.73886,single_junction,26.1,,1,
10.1002/smll.202513734,10.1002/smll.202513734,single_junction,20.01,,1,
10.1021/acsaem.6c01139,10.1021/acsaem.6c01139,single_junction,23.25,,1,
10.1002/aenm.71036,10.1002/aenm.71036,perovskite_silicon_tandem,31.25,,1,
10.1002/aenm.71077,10.1002/aenm.71077,perovskite_silicon_tandem,32.74,31.52,1,
10.1002/aenm.71102,10.1002/aenm.71102,single_junction,25.02,,1,
10.1002/aenm.71115,10.1002/aenm.71115,single_junction,25.91,,1,
10.1021/acsami.5c26048,10.1021/acsami.5c26048,single_junction,,,1,
10.1002/adfm.75640,10.1002/adfm.75640,perovskite_silicon_tandem,31,,1,
10.1021/acsami.6c06303,10.1021/acsami.6c06303,single_junction,15,,1,
10.1038/s41467-026-73743-4,10.1038/s41467-026-73743-4,all_perovskite_tandem,26.5,25.8,1,
10.1002/solr.70376,10.1002/solr.70376,single_junction,,,1,
10.1002/solr.70388,10.1002/solr.70388,single_junction,9.07,,1,
10.1021/acsnano.6c04740,10.1021/acsnano.6c04740,all_perovskite_tandem,29.1,,1,
10.1021/acsenergylett.6c00520,10.1021/acsenergylett.6c00520,single_junction,,,0,lens=review
10.1021/acsenergylett.6c00771,10.1021/acsenergylett.6c00771,single_junction,23.48,,1,
10.1002/cey2.70227,10.1002/cey2.70227,single_junction,20.14,,1,
10.1021/acs.chemrev.5c00740,10.1021/acs.chemrev.5c00740,single_junction,,,0,lens=review
10.1038/s41467-026-73255-1,10.1038/s41467-026-73255-1,single_junction,,,0,lens=review
10.1021/acsenergylett.6c00879,10.1021/acsenergylett.6c00879,perovskite_silicon_tandem,21.4,,1,
10.1021/acs.jpclett.6c01042,10.1021/acs.jpclett.6c01042,single_junction,26.8,,1,
10.1002/smll.73761,10.1002/smll.73761,single_junction,25.81,,1,
10.1021/acs.jpclett.6c01048,10.1021/acs.jpclett.6c01048,single_junction,,,1,
10.1002/smll.74010,10.1002/smll.74010,single_junction,,,0,lens=review
10.1002/advs.75864,10.1002/advs.75864,single_junction,25.48,,1,
10.1002/smll.73621,10.1002/smll.73621,single_junction,25.95,,1,
10.1038/s42254-026-00938-5,10.1038/s42254-026-00938-5,perovskite_silicon_tandem,,,0,lens=review
10.1038/s41467-026-73620-0,10.1038/s41467-026-73620-0,single_junction,26.35,,1,
10.1002/anie.5162616,10.1002/anie.5162616,all_perovskite_tandem,32.26,32.1,1,
10.1021/acsami.6c01711,10.1021/acsami.6c01711,perovskite_silicon_tandem,32.03,,1,
10.1002/adma.73301,10.1002/adma.73301,single_junction,,,1,
10.1002/adma.73442,10.1002/adma.73442,single_junction,,,1,
10.1021/acsami.6c04007,10.1021/acsami.6c04007,single_junction,21.58,,1,
10.1021/acsami.6c06052,10.1021/acsami.6c06052,single_junction,25.82,,1,
10.1002/smll.74000,10.1002/smll.74000,module,21.2,,1,
10.1126/science.aeb9953,10.1126/science.aeb9953,single_junction,,27.6,1,
10.1002/smll.73673,10.1002/smll.73673,single_junction,26.6,,1,
10.1002/smll.202514991,10.1002/smll.202514991,single_junction,,,0,lens=review
10.1002/aenm.202506805,10.1002/aenm.202506805,single_junction,,,1,
10.1002/aenm.71105,10.1002/aenm.71105,single_junction,26.61,,1,
10.1002/flm2.70078,10.1002/flm2.70078,single_junction,,,0,lens=review
10.1126/science.aef1620,10.1126/science.aef1620,single_junction,,,1,
10.1002/anie.7292679,10.1002/anie.7292679,module,15.7,,1,
10.1002/solr.70302,10.1002/solr.70302,single_junction,30.5,,0,lens=review
10.1038/s41467-026-73709-6,10.1038/s41467-026-73709-6,single_junction,20.72,20.35,1,
