work_key,doi,device_class,area_cm2,pce_percent
10.1038/s41467-026-75990-x,10.1038/s41467-026-75990-x,single_junction,14,26.26
10.1002/adfm.76878,10.1002/adfm.76878,single_junction,1,25.75
10.1002/anie.8080769,10.1002/anie.8080769,single_junction,21.54,27.06
10.1002/adma.73807,10.1002/adma.73807,module,684.75,27.31
10.1002/ece2.70102,10.1002/ece2.70102,module,63.7,22.68
10.1002/smll.74604,10.1002/smll.74604,single_junction,0.04,25.15
10.1021/acsenergylett.6c00858,10.1021/acsenergylett.6c00858,single_junction,0.128,21.5
10.1126/science.aeg1730,10.1126/science.aeg1730,module,65.05,27.2
10.1126/science.aed8175,10.1126/science.aed8175,module,625,27.8
10.1126/science.aef1969,10.1126/science.aef1969,single_junction,100,26.7
10.1002/adfm.77164,10.1002/adfm.77164,single_junction,93.1,26.15
10.1002/anie.7827890,10.1002/anie.7827890,single_junction,0.049,15.56
10.1002/anie.5530609,10.1002/anie.5530609,perovskite_silicon_tandem,1.05,32.03
10.1002/anie.5216345,10.1002/anie.5216345,single_junction,0.09,26.12
10.1021/jacs.6c06932,10.1021/jacs.6c06932,single_junction,818,26.53
10.1038/s41467-026-75305-0,10.1038/s41467-026-75305-0,all_perovskite_tandem,1.17,26.18
10.1126/sciadv.aeg1456,10.1126/sciadv.aeg1456,single_junction,766,27.31
10.1126/sciadv.aef6600,10.1126/sciadv.aef6600,perovskite_silicon_tandem,12.56,27.49
10.1002/solr.70430,10.1002/solr.70430,single_junction,64,14.57
10.1002/advs.76508,10.1002/advs.76508,single_junction,0.072,26.32
10.1021/acsami.6c09922,10.1021/acsami.6c09922,module,12,24.2
