work_key,doi,device_class,pce_champion,pce_certified,included_in_figure,exclusion_reason
10.1002/smll.74319,10.1002/smll.74319,perovskite_silicon_tandem,30.18,,1,
10.1021/acsami.6c04650,10.1021/acsami.6c04650,single_junction,23.74,,1,
10.1021/acs.jpclett.6c01119,10.1021/acs.jpclett.6c01119,single_junction,,,0,lens=theory
10.20517/energymater.2026.36,10.20517/energymater.2026.36,single_junction,,,0,lens=theory
10.1002/smll.74076,10.1002/smll.74076,single_junction,21.36,,1,
10.1021/acsmaterialslett.5c01678,10.1021/acsmaterialslett.5c01678,single_junction,26.58,,1,
10.1038/s41467-026-73739-0,10.1038/s41467-026-73739-0,single_junction,25.61,,1,
10.1002/aenm.71207,10.1002/aenm.71207,single_junction,,,1,
10.1021/acsaem.6c00778,10.1021/acsaem.6c00778,single_junction,20.76,,1,
10.1016/j.xcrp.2026.103346,10.1016/j.xcrp.2026.103346,single_junction,,,0,lens=review
10.1002/aenm.71001,10.1002/aenm.71001,module,,,1,
10.1002/advs.76010,10.1002/advs.76010,single_junction,26.02,,1,
10.1002/smll.74086,10.1002/smll.74086,single_junction,15.85,,1,
10.1002/solr.70406,10.1002/solr.70406,single_junction,20.7,,1,
10.1021/acsami.6c05001,10.1021/acsami.6c05001,all_perovskite_tandem,24.97,,1,
10.1021/acs.jpclett.6c01395,10.1021/acs.jpclett.6c01395,single_junction,21.84,,1,
10.1002/smll.74278,10.1002/smll.74278,single_junction,26.47,,1,
10.1088/2752-5724/ae7817,10.1088/2752-5724/ae7817,all_perovskite_tandem,22.21,,1,
10.1063/5.0316312,10.1063/5.0316312,single_junction,,,0,lens=review
10.1021/acsenergylett.6c00703,10.1021/acsenergylett.6c00703,single_junction,26.78,,1,
10.1002/solr.70405,10.1002/solr.70405,single_junction,26.6,,1,
10.1021/jacs.6c08995,10.1021/jacs.6c08995,single_junction,,,0,lens=review
10.1002/anie.7010126,10.1002/anie.7010126,single_junction,26.47,,1,
10.1002/ece2.70087,10.1002/ece2.70087,single_junction,,,1,
10.1021/acs.jpclett.6c01531,10.1021/acs.jpclett.6c01531,single_junction,22.4,,1,
10.1021/acsaem.6c01329,10.1021/acsaem.6c01329,single_junction,23.3,,1,
10.1002/solr.70410,10.1002/solr.70410,perovskite_silicon_tandem,23.4,,1,
10.1002/solr.70398,10.1002/solr.70398,single_junction,,,1,
10.1016/j.mser.2026.101244,10.1016/j.mser.2026.101244,single_junction,,,1,
10.1002/anie.2535666,10.1002/anie.2535666,single_junction,22.27,,1,
10.1016/j.cej.2026.177834,10.1016/j.cej.2026.177834,single_junction,11,,1,
10.1103/jzjm-xw3v,10.1103/jzjm-xw3v,single_junction,,,1,
10.1002/inf2.70163,10.1002/inf2.70163,single_junction,,,1,
10.1002/solr.70385,10.1002/solr.70385,single_junction,20.05,,1,
10.1038/s43246-026-01252-4,10.1038/s43246-026-01252-4,single_junction,12.1,,1,
10.1021/acsaem.6c01493,10.1021/acsaem.6c01493,single_junction,12.09,,1,
10.1038/s41467-026-74285-5,10.1038/s41467-026-74285-5,single_junction,25.54,,1,
10.1002/anie.2412282,10.1002/anie.2412282,single_junction,22.61,,1,
10.1021/acsaem.6c01363,10.1021/acsaem.6c01363,single_junction,25.06,,1,
10.1021/acsaem.6c01210,10.1021/acsaem.6c01210,single_junction,,,1,
10.1002/smll.74043,10.1002/smll.74043,single_junction,21.57,,1,
10.1021/acsami.6c06456,10.1021/acsami.6c06456,perovskite_silicon_tandem,,,0,lens=theory
10.1002/ente.70533,10.1002/ente.70533,single_junction,,,1,
10.1002/solr.70390,10.1002/solr.70390,perovskite_silicon_tandem,,,1,
10.1002/smll.74320,10.1002/smll.74320,single_junction,24.08,,1,
10.1002/ente.70553,10.1002/ente.70553,single_junction,31.92,,0,lens=theory
10.1016/j.nanoms.2026.04.012,10.1016/j.nanoms.2026.04.012,single_junction,,,1,
10.1021/acsaem.6c00612,10.1021/acsaem.6c00612,single_junction,,,1,
10.1021/acs.jpclett.6c01131,10.1021/acs.jpclett.6c01131,single_junction,,,1,
10.1002/solr.70396,10.1002/solr.70396,single_junction,,,0,lens=review
10.1002/solr.70363,10.1002/solr.70363,single_junction,18.48,,1,
10.1002/ente.70542,10.1002/ente.70542,single_junction,,,0,lens=theory
10.1021/acsaem.6c00235,10.1021/acsaem.6c00235,single_junction,,,1,
10.1016/j.solmat.2026.114518,10.1016/j.solmat.2026.114518,single_junction,,,1,
