mechanism_axis,n_corpus,n_depth,share_of_corpus_pct
composition,268,41,43.0
defects,113,46,18.1
interfaces,107,30,17.2
architecture,61,16,9.8
stability,50,22,8.0
scale_up,24,12,3.9
