work_key,doi,title,venue,publication_date,date_precision,source_month,type
10.1039/d4cc06599a,10.1039/d4cc06599a,Enhancing open-circuit voltage in FAPbI 3 perovskite solar cells via self-formation of coherent buried interface FAPbI x Cl 3− x,Chemical Communications,2025-01-01,year,,article
10.1039/d4ee04555f,10.1039/d4ee04555f,Moisture-inhibited deprotonation at the buried interface enables efficient perovskite solar cells with a high fill factor of over 86%,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ee01110h,10.1039/d5ee01110h,Design of strong and weak intermolecular interactions to engineer buried interfaces in inverted wide-bandgap perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ee00156k,10.1039/d5ee00156k,Buried and bulk synergistic engineering enables high-performance inverted 2D/3D perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4ee06142j,10.1039/d4ee06142j,Synchronous dimension-crystallization engineering enables highly efficient 2D/3D tin perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ee00342c,10.1039/d5ee00342c,Stress release via thermodynamic regulation towards efficient flexible perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ra02730f,10.1039/d5ra02730f,"Metal halide perovskites for energy applications: recent advances, challenges, and future perspectives",RSC Advances,2025-01-01,year,,article
10.1039/d4ee02898h,10.1039/d4ee02898h,Suppressing phase segregation and nonradiative losses by a multifunctional cross-linker for high-performance all-perovskite tandem solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ee00380f,10.1039/d5ee00380f,A green-solvent-processable polymer hole transport material for achieving 26.31% efficiency in inverted perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4ra08323g,10.1039/d4ra08323g,Probing high-efficiency Cs 0.05 (FA 0.77 MA 0.23 ) 0.95 Pb(I 0.77 Br 0.23 ) 3 -based perovskite solar cells through first principles computations and SCAPS-1D simulation,RSC Advances,2025-01-01,year,,article
10.1039/d4ee05232c,10.1039/d4ee05232c,Efficient rigid and flexible perovskite solar cells using strongly adsorbed molecules for lattice repair and grain boundary mitigation,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4ee04692g,10.1039/d4ee04692g,Melamine holding PbI 2 with three “arms”: an effective chelation strategy to control the lead iodide to perovskite conversion for inverted perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4ee03445g,10.1039/d4ee03445g,Deep learning for augmented process monitoring of scalable perovskite thin-film fabrication,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5cs00475f,10.1039/d5cs00475f,Dynamic control of halide perovskite structures for tailored ferroelectric and second-order nonlinear optical functionalities,Chemical Society Reviews,2025-01-01,year,,article
10.1039/d5cp01747e,10.1039/d5cp01747e,Insight into NaSiCl 3 : a lead-free perovskite for the next generation revealed by DFT and SCAPS-1D,Physical Chemistry Chemical Physics,2025-01-01,year,,article
10.1039/d5ta04568a,10.1039/d5ta04568a,Recent advances in tin halide perovskite solar cells: a critical review,Journal of Materials Chemistry A,2025-01-01,year,,article
10.1039/d5ra01185j,10.1039/d5ra01185j,A first-principles study of dynamically stable non-toxic photovoltaic Mg 3 PX 3 (X = Cl and Br) compounds,RSC Advances,2025-01-01,year,,article
10.1039/d5su00526d,10.1039/d5su00526d,Advances in lead-free perovskite solar cell design via SCAPS-1D simulations,RSC Sustainability,2025-01-01,year,,article
10.1039/d5ra00607d,10.1039/d5ra00607d,Examining the contribution of charge transport layers to boost the performance over 26% in Sr 3 PCl 3 absorber-based bifacial perovskite solar cells,RSC Advances,2025-01-01,year,,article
10.1039/d5ra01868d,10.1039/d5ra01868d,"Direct correlation between open-circuit voltage and quasi-fermi level splitting in perovskite solar cells: a computational step involving thickness, doping, lifetime, and temperature variations for green solutions",RSC Advances,2025-01-01,year,,article
10.1039/d4mh01516a,10.1039/d4mh01516a,Recent advances in lead-free carbon supported perovskites based on Z-scheme and S-scheme heterojunctions for photocatalytic energy conversion,Materials Horizons,2025-01-01,year,,article
10.1039/d4se01813c,10.1039/d4se01813c,Commercialization of perovskite solar cells: opportunities and challenges,Sustainable Energy & Fuels,2025-01-01,year,,article
10.1016/j.nxmate.2025.100509,10.1016/j.nxmate.2025.100509,Plasmonic metal nanostructures as performance enhancers in emerging solar cells: A review,Next Materials,2025-01-01,year,,article
10.1039/d4ee05879h,10.1039/d4ee05879h,Anti-solvent engineering for efficient and stable perovskite solar cells with preferentially orientated 2-dimensional/3-dimensional heterojunctions,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4ee03897e,10.1039/d4ee03897e,Stepwise volatilization induced by nature-sourced volatile solid additives improving the efficiency and stability of perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ee00149h,10.1039/d5ee00149h,Comprehensive crystallization retardation of inorganic perovskites for high performance inverted solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4ee06038e,10.1039/d4ee06038e,Biomass-derived functional additive for highly efficient and stable lead halide perovskite solar cells with built-in lead immobilisation,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5cs00480b,10.1039/d5cs00480b,Lattice strain inhomogeneity in halide perovskite films: its origins and regulations,Chemical Society Reviews,2025-01-01,year,,article
10.1039/d5ee02240a,10.1039/d5ee02240a,"Multi-physics mechanisms and regulation of perovskite grain boundaries: insights into carrier dynamics, ion migration, thermodynamics, and thermal stress",Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ra04902d,10.1039/d5ra04902d,"First-principles investigation of lead-free Rb 3 SbX 6 (X = F, Cl, Br, I) mixed-halide double perovskites promising for photovoltaics and scintillation",RSC Advances,2025-01-01,year,,article
10.1016/j.chempr.2024.12.002,10.1016/j.chempr.2024.12.002,The progress and challenges of tin-lead alloyed perovskites: Toward the development of large-scale all-perovskite tandem solar cells,Chem,2025-01-01,year,,article
10.1039/d5tc01870f,10.1039/d5tc01870f,Recent progress in molecularly tailored organic hole transporting materials for highly efficient perovskite solar cells,Journal of Materials Chemistry C,2025-01-01,year,,article
10.1039/d4mh01478b,10.1039/d4mh01478b,"Application of advanced quantum dots in perovskite solar cells: synthesis, characterization, mechanism, and performance enhancement",Materials Horizons,2025-01-01,year,,article
10.1039/d4ee05855k,10.1039/d4ee05855k,A universal surface fixed charge reconstruction strategy to minimize contact loss in wide bandgap perovskite photovoltaics,Energy & Environmental Science,2025-01-01,year,,article
10.34133/energymatadv.0172,10.34133/energymatadv.0172,Stability of Wide-Bandgap Perovskites for Tandem Applications: A Review,Energy Material Advances,2025-01-01,year,,article
10.1039/d5ee00383k,10.1039/d5ee00383k,Molecular integration of Lewis bases for efficient and stable inverted perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5cs00359h,10.1039/d5cs00359h,Sustainable decommissioning of perovskite solar cells: from waste to resources,Chemical Society Reviews,2025-01-01,year,,article
10.1039/d5cs00625b,10.1039/d5cs00625b,Single-crystal perovskites for photovoltaic and high-energy detection applications,Chemical Society Reviews,2025-01-01,year,,article
10.1039/d4ee03760j,10.1039/d4ee03760j,Enhanced electrical performance of perovskite solar cells via strain engineering,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4ee06199c,10.1039/d4ee06199c,Regulation of crystallization by Introducing a multistage growth template affords efficient and stable inverted perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4ee05699j,10.1039/d4ee05699j,Damp-heat stable and efficient perovskite solar cells and mini-modules with a t BP-free hole-transporting layer,Energy & Environmental Science,2025-01-01,year,,article
10.1016/j.seja.2025.100105,10.1016/j.seja.2025.100105,Advances in multijunction solar cells: An overview,Solar Energy Advances,2025-01-01,year,,article
10.1039/d5el00069f,10.1039/d5el00069f,Industrialization of perovskite solar cell fabrication: strategies to achieve high-throughput vapor deposition processes,EES solar.,2025-01-01,year,,article
