role,cli,model,calls_total,calls_shipped,calls_reported,calls_estimated,tokens_in,tokens_out_total,tokens_out_shipped,cache_read,est_tokens_out_total,est_tokens_out_shipped,words_out_total,words_out_shipped
extractor,opencode,opencode-go/qwen3.8-flash,16,1,16,0,96,166733,732,122032,0,0,0,0
llm,,qwen3.8-flash,8,8,8,0,48,15257,15257,0,0,0,0,0
llm,agy,gemini-3.8-flash-high,39,25,0,39,0,0,0,0,24215,17940,18206,13489
none,python,,19,19,0,0,0,0,0,0,0,0,0,0
