work_key,doi,title,venue,venue_type,publication_date,type,lang,axis_primary,axis_secondary,lens,mechanism_centrality,first_author_institution,cited_by_count,oa_status,in_depth_tier
10.1021/jacs.5c16976,10.1021/jacs.5c16976,Fused-Ring Electron Acceptors as a Versatile Additive Platform for Efficient Perovskite Photovoltaics,Journal of the American Chemical Society,journal,2026-01-02,article,en,,,,,Peking University,10,closed,1
10.1002/adma.202519934,10.1002/adma.202519934,Multidentate Chelation by Imine‐Linked Covalent Organic Framework Enables High‐Performance Tin‐Based Perovskite Solar Cells,Advanced Materials,journal,2026-01-02,article,en,,,,,Beijing National Laboratory For Molecular Sciences,7,closed,1
10.1016/j.materresbull.2026.113989,10.1016/j.materresbull.2026.113989,Low-cost bimolecular synergistic passivation of the perovskite buried interface for the perovskite solar cell,Materials Research Bulletin,journal,2026-01-02,article,en,,,,,Quanzhou Normal University,6,closed,0
10.1002/aenm.202504060,10.1002/aenm.202504060,Decoding Interfacial Charge‐Carrier Dynamics in Integrated Perovskite/Organic Solar Cells via Numerical Modeling,Advanced Energy Materials,journal,2026-01-02,article,en,,,,,Friedrich-alexander-universität Erlangen-nürnberg,5,hybrid,0
10.1021/acs.jpclett.5c03476,10.1021/acs.jpclett.5c03476,Co-passivation of Buried Interfaces in Perovskite Solar Cells with Sulfonate and Amine Salts,The Journal of Physical Chemistry Letters,journal,2026-01-02,article,en,,,,,University Of Science And Technology Of China,3,closed,1
10.1016/j.nanoen.2025.111696,10.1016/j.nanoen.2025.111696,Thermal-electrical dual management for efficient and stable wide-bandgap perovskite solar cells,Nano Energy,journal,2026-01-02,article,en,,,,,Ocean University Of China,3,closed,0
10.1016/j.ssc.2026.116311,10.1016/j.ssc.2026.116311,Efficient lead-free FASnI3 perovskite solar cells using ZnO/Ag NPs /ZnO transparent electrode: Experimental analysis and SCAPS-1D simulation,Solid State Communications,journal,2026-01-02,article,en,,,,,University Of Batna 1,1,closed,0
10.1021/acsami.5c12441,10.1021/acsami.5c12441,"Defect-Immune Perovskite Photovoltaics via Molecular Vise Engineering: A Pathway to Scalable, Encapsulation-Free Production under Mild Conditions",ACS Applied Materials & Interfaces,journal,2026-01-02,article,en,,,,,Harbin University Of Science And Technology,0,closed,1
10.26554/sti.2026.11.1.298-310,10.26554/sti.2026.11.1.298-310,The Synthesis of CH₃NH₃PbI₃₋ₓBrₓ under Uncontrolled Humidity for Perovskite Solar Cell Application,Science & Technology Indonesia,journal,2026-01-02,article,en,,,,,Yogyakarta State University,0,gold,0
10.5281/zenodo.18134891,10.5281/zenodo.18134891,Perovskite and Quantum Dot Solar Cells - Recent Advances and Hybrid Architectures,OSF Preprints (OSF Preprints),repository,2026-01-02,preprint,en,,,,,,0,green,1
10.1016/j.surfin.2025.108397,10.1016/j.surfin.2025.108397,Phenanthrenequinone-based molecular films as interlayers for perovskite solar cells: Impact of aryl substituents,Surfaces and Interfaces,journal,2026-01-02,article,en,,,,,National Taiwan University Of Science And Technology,0,closed,0
10.5281/zenodo.18134892,10.5281/zenodo.18134892,Perovskite and Quantum Dot Solar Cells - Recent Advances and Hybrid Architectures,Zenodo (CERN European Organization for Nuclear Research),repository,2026-01-02,article,en,,,,,,0,green,0
10.1016/j.ssc.2026.116314,10.1016/j.ssc.2026.116314,Improvement and optimization of lead-free and eco-friendly InGeCl3 based perovskite solar cells: From first principal calculation to SCAPS-1D simulation,Solid State Communications,journal,2026-01-02,article,en,,,,,École Normale Supérieure Casablanca,0,closed,0
10.1080/0371750x.2026.2638419,10.1080/0371750x.2026.2638419,Utilizing Various Hole Transport Materials to Improve PCE of a Double Perovskite Bi 2 FeCrO 6 Solar Cell via Numerical Simulation,Transactions of the Indian Ceramic Society,journal,2026-01-02,article,en,,,,,Maharaja Engineering College,0,closed,0
10.1080/15397734.2026.2638430,10.1080/15397734.2026.2638430,Geometrically nonlinear transient response of perovskite-based sandwich cylindrical panels with butterfly-shaped auxetic core under thermo-electro-mechanical and impact loads,Mechanics Based Design of Structures and Machines,journal,2026-01-02,article,en,,,,,K. N. Toosi University Of Technology,0,closed,0
10.5281/zenodo.21330252,10.5281/zenodo.21330252,Low Temperature Processed Tin Oxide Thin Films for Efficient Electron Transport in Perovskite Solar Cells,Zenodo (CERN European Organization for Nuclear Research),repository,2026-01-02,article,en,,,,,Dagon University,0,green,0
10.5281/zenodo.21330253,10.5281/zenodo.21330253,Low Temperature Processed Tin Oxide Thin Films for Efficient Electron Transport in Perovskite Solar Cells,Zenodo (CERN European Organization for Nuclear Research),repository,2026-01-02,article,en,,,,,Dagon University,0,green,0
10.1038/s41467-025-68125-1,10.1038/s41467-025-68125-1,Crystallization modulation for wide-bandgap perovskites with universal defect passivation toward efficient perovskite/organic tandem photovoltaics,Nature Communications,journal,2026-01-03,article,en,,,,,Wuhan University Of Technology,22,gold,1
10.1016/j.surfcoat.2026.133150,10.1016/j.surfcoat.2026.133150,Integrated hybrid SALD-PVD platform for scalable electron contact layer engineering in perovskite/silicon tandem solar cells,Surface and Coatings Technology,journal,2026-01-03,article,en,,,,,Fraunhofer Institute For Surface Engineering And Thin Films,0,green,0
10.1007/s11664-025-12618-8,10.1007/s11664-025-12618-8,Magnetron Sputtering Production of High-Quality ITO Layer for Large-Area Semitransparent Perovskite Solar Cells,Journal of Electronic Materials,journal,2026-01-03,article,en,,,,,Hangzhou Dianzi University,0,closed,0
10.1038/s41377-025-02120-5,10.1038/s41377-025-02120-5,Light management in monolithic all-perovskite tandem solar cells,Light Science & Applications,journal,2026-01-04,article,en,,,,,Collaborative Innovation Center Of Advanced Microstructures,8,gold,1
10.1002/aenm.202505931,10.1002/aenm.202505931,Multimodal Strategy for Efficient Semi‐Transparent Perovskite Solar Cells and Modules with Record Indoor Performance,Advanced Energy Materials,journal,2026-01-04,article,en,,,,,University College London,8,hybrid,1
10.1016/j.rineng.2026.108976,10.1016/j.rineng.2026.108976,"Polymer Photocatalysts for Green Energy and Environmental Remediation: Recent Progress, Challenges, and Future Directions",Results in Engineering,journal,2026-01-04,article,en,,,,,Queensland University Of Technology,8,gold,1
10.3390/app16010501,10.3390/app16010501,"Life-Cycle Assessment of Innovative Industrial Processes for Photovoltaic Production: Process-Level LCIs, Scale-Up Dynamics, and Recycling Implications",Applied Sciences,journal,2026-01-04,article,en,,,,,University Of West Attica,6,gold,1
10.1002/advs.202520934,10.1002/advs.202520934,Electron‐Phonon Interactions Facilitating Large Polaron‐Related Charge‐Carrier Dynamics for Efficient Perovskite Nanocrystal Solar Cells,Advanced Science,journal,2026-01-04,article,en,,,,,,4,gold,0
10.1007/s40843-025-3630-2,10.1007/s40843-025-3630-2,Dual-interface engineering strategy for optimizing carrier dynamics in perovskite-silicon tandem solar cells,Science China Materials,journal,2026-01-04,article,en,,,,,Hebei University Of Technology,3,closed,0
10.1016/j.mtener.2026.102197,10.1016/j.mtener.2026.102197,Improved environmental stability of perovskite films enabled by a one-pot synthesized eco-friendly additive,Materials Today Energy,journal,2026-01-04,article,en,,,,,Universidad Autónoma De La Ciudad De México,1,hybrid,0
10.1016/j.mtener.2026.102194,10.1016/j.mtener.2026.102194,Beyond crystallization control: Functionalized boron nitride as an interface modifier for high efficiency perovskite solar cells,Materials Today Energy,journal,2026-01-04,article,en,,,,,Konkuk University,1,closed,0
10.1016/j.mtener.2026.102196,10.1016/j.mtener.2026.102196,"Efficient, ambient-air-processed perovskite solar cells achieved through synergistic defect passivation at the SnO2/Perovskite interface with guanidinium sulfamate",Materials Today Energy,journal,2026-01-04,article,en,,,,,Yunnan Normal University,1,closed,0
10.1002/advs.202521037,10.1002/advs.202521037,Tailored Monolayer Co‐Assembly for Enhanced Efficiency and Stability in Inverted Perovskite Solar Cells,Advanced Science,journal,2026-01-04,article,en,,,,,Collaborative Innovation Center Of Chemistry For Energy Materials,1,gold,0
10.1002/eem2.70212,10.1002/eem2.70212,"Design of B,N Co‐Doped Carbon Spheres for Highly Effective Back Interface Engineering in Planar Carbon‐Based Perovskite Solar Cells",Energy & environment materials,journal,2026-01-04,article,en,,,,,Hebei Normal University,1,hybrid,0
10.1007/s11426-025-3010-8,10.1007/s11426-025-3010-8,Synchronously modulating the strength of chemical and electric field-induced passivation for robust and efficient perovskite photovoltaics,Science China Chemistry,journal,2026-01-04,article,en,,,,,Henan University,1,closed,0
10.1007/s40843-025-3708-y,10.1007/s40843-025-3708-y,Multidirectional self-driven polarization-sensitive photodetection induced by asymmetric contact,Science China Materials,journal,2026-01-04,article,en,,,,,City University Of Hong Kong,1,closed,0
10.1007/s40843-025-3657-9,10.1007/s40843-025-3657-9,Indium-free transparent conductive oxide interconnection layer for achieving over 30%-efficiency perovskite/silicon tandem solar cells,Science China Materials,journal,2026-01-04,article,en,,,,,Tianjin University Of Technology,0,closed,0
10.1007/s40843-025-3636-9,10.1007/s40843-025-3636-9,Efficient perovskite solar cells enabled by co-depositable p-type small molecules,Science China Materials,journal,2026-01-04,article,en,,,,,Collaborative Innovation Center Of Chemistry For Energy Materials,0,closed,0
10.1360/csb-2025-5622,10.1360/csb-2025-5622,The impact of mixed solvent on blade-coated surface passivation of perovskite films and their photovoltaic performance,Chinese Science Bulletin (Chinese Version),journal,2026-01-04,article,en,,,,,,0,closed,0
10.1002/adma.202521789,10.1002/adma.202521789,Interface Matters: Boosting Efficient Pb‐Sn Perovskite Solar Cells for All‐Perovskite Tandem Photovoltaics,Advanced Materials,journal,2026-01-05,article,en,,,,,Xi'an Shiyou University,39,closed,1
10.1038/s41560-025-01932-4,10.1038/s41560-025-01932-4,Amorphous grain boundary engineering for scalable flexible perovskite photovoltaics with improved stability,Nature Energy,journal,2026-01-05,article,en,,,,,Jinan University,16,closed,0
10.1038/s41467-025-68213-2,10.1038/s41467-025-68213-2,Homogeneous crystallization via sustained solvent-extraction channels for methylammonium-free all-perovskite tandem solar cells,Nature Communications,journal,2026-01-05,article,en,,,,,Nanjing University,11,gold,1
10.1002/adma.202519976,10.1002/adma.202519976,Potassium Cyanate Stabilizes Lattice and Promotes Preferred Orientation for 1.67‐eV Wide‐Bandgap Perovskite and Perovskite/Silicon Tandems,Advanced Materials,journal,2026-01-05,article,en,,,,,Ministry Of Energy,11,bronze,0
10.1002/adma.202518752,10.1002/adma.202518752,Integrated Lead/Iodine Management for Sustainable Perovskite Solar Modules,Advanced Materials,journal,2026-01-05,article,en,,,,,Lanzhou University Of Technology,7,hybrid,0
10.1038/s41557-025-02038-w,10.1038/s41557-025-02038-w,Intralayer bidentate diammoniums for stable two-dimensional perovskites,Nature Chemistry,journal,2026-01-05,article,en,,,,,Purdue University West Lafayette,7,closed,0
10.1002/aenm.202504844,10.1002/aenm.202504844,A Bimolecular Co‐Anchoring Strategy for Constructing Hydrogen Networks to Stabilize Perovskite Solar Cells,Advanced Energy Materials,journal,2026-01-05,article,en,,,,,City University Of Hong Kong,7,closed,0
10.1021/acsenergylett.5c03341,10.1021/acsenergylett.5c03341,Hole-Transport Layer for High Current Density and Stability of Sn–Pb Perovskites and All-Perovskite Tandem Solar Cells,ACS Energy Letters,journal,2026-01-05,article,en,,,,,,6,closed,1
10.1007/s40820-025-02037-z,10.1007/s40820-025-02037-z,Perovskite/Organic Tandem Solar Cells with 26.49% Efficiency via Enhanced Absorption and Minimized Energy Losses,Nano-Micro Letters,journal,2026-01-05,article,en,,,,,Nankai University,6,gold,1
10.1007/s40820-025-02010-w,10.1007/s40820-025-02010-w,Vertical Interfacial Engineering in Two-Step-Processed Perovskite Films Enabled by Dual-Interface Modification for High-Efficiency p-i-n Solar Cells,Nano-Micro Letters,journal,2026-01-05,article,en,,,,,Ningbo University Of Technology,5,gold,1
10.1007/s40820-025-02006-6,10.1007/s40820-025-02006-6,Nature-Inspired Redox Shuttle with Regenerable Antioxidant for Efficient All-Perovskite Tandem Solar Cells,Nano-Micro Letters,journal,2026-01-05,article,en,,,,,Northwestern Polytechnical University,5,gold,1
10.1021/acsenergylett.5c03328,10.1021/acsenergylett.5c03328,Multifunctional Thiazolidine Derivatives Synergistic Regulation of Charge Transport Interface for Inverted Perovskite Solar Cells,ACS Energy Letters,journal,2026-01-05,article,en,,,,,Macau University Of Science And Technology,5,closed,1
10.1021/acsomega.5c01201,10.1021/acsomega.5c01201,"Optimization of CsSnI 3 -, MASnI 3 -, and MAGeI 3 -Based All-Perovskite Solar Cells for Cost-Effective and Nontoxic Energy Conversion",ACS Omega,journal,2026-01-05,article,en,,,,,Beijing Electronic Science And Technology Institute,5,gold,0
10.1002/adfm.202521919,10.1002/adfm.202521919,Efficient NiO x Hole Transport Layers Enabled by Multifunctional MXenes for High‐Performance Tin‐Lead Perovskite Solar Cells,Advanced Functional Materials,journal,2026-01-05,article,en,,,,,Southwest Jiaotong University,4,hybrid,1
10.1007/s10825-025-02476-2,10.1007/s10825-025-02476-2,Integrated simulation and machine learning framework for high-performance lead-free RbGeI3 perovskite solar cells with WS2/CuI transport layers,Journal of Computational Electronics,journal,2026-01-05,article,en,,,,,University Of The Punjab,4,closed,0
10.1002/aenm.202506169,10.1002/aenm.202506169,Can Fully Vacuum‐Processed Perovskite Solar Cells Follow the Footprint of OLEDs?,Advanced Energy Materials,journal,2026-01-05,article,en,,,,,Sungkyunkwan University,4,closed,0
10.1007/s44308-025-00012-z,10.1007/s44308-025-00012-z,Solution-processed halide perovskite solar cells: from coating to modules,Journal of Materials Science Materials in Energy,journal,2026-01-05,article,en,,,,,Ningbo University,2,hybrid,0
10.1002/advs.202520950,10.1002/advs.202520950,Integrated Bulk–Surface Engineering Stabilizes MA‐Free Wide‐Bandgap Perovskites for Tandem Photovoltaics,Advanced Science,journal,2026-01-05,article,en,,,,,Soochow University,2,gold,0
10.1007/s40820-025-01985-w,10.1007/s40820-025-01985-w,Tri-Band Regulation and Split-Type Smart Photovoltaic Windows for Thermal Modulation of Energy-Saving Buildings in All-Season,Nano-Micro Letters,journal,2026-01-05,article,en,,,,,University Of Science And Technology Beijing,1,gold,1
10.1063/5.0305077,10.1063/5.0305077,Improving perovskite solar cells with laminated carbon paper electrodes by copper-doped indium hydroxide nanoparticles,Applied Physics Letters,journal,2026-01-05,article,en,,,,,Jilin University,1,closed,0
10.1021/acs.chemmater.5c02577,10.1021/acs.chemmater.5c02577,Photophysical Properties and Phase Behavior of Ultrawide Photovoltaic Bandgap Cesium–Lead-Based Triple Halide Perovskites,Chemistry of Materials,journal,2026-01-05,article,en,,,,,University Of Colorado Boulder,1,closed,0
10.1021/acsami.5c24604,10.1021/acsami.5c24604,Synergistic Molecular Stacking in an Asymmetric Self-Assembled Bilayer for Universally Elevating the Performance of Perovskite Photovoltaics,ACS Applied Materials & Interfaces,journal,2026-01-05,article,en,,,,,,1,closed,0
10.1007/s12034-025-03525-z,10.1007/s12034-025-03525-z,"Tailoring the photovoltaic performance of halide double perovskites X2AgBiI6 (X = Rb, K) using SCAPS-1D",Bulletin of Materials Science,journal,2026-01-05,article,en,,,,,Sundaram Medical Foundation,1,closed,0
10.1007/s40843-025-3788-9,10.1007/s40843-025-3788-9,Stable δ-FA(Cs)PbI3 intermediate enables fabrication of large-area perovskite solar modules in ambient air,Science China Materials,journal,2026-01-05,article,en,,,,,University Of Victoria,1,closed,0
10.1016/j.apsusc.2026.165832,10.1016/j.apsusc.2026.165832,Crystallization modulation through inorganic material enables high-performance full-air-processed inorganic perovskite solar cells,Applied Surface Science,journal,2026-01-05,article,en,,,,,Jilin Normal University,1,closed,0
10.1021/acsaem.5c03376,10.1021/acsaem.5c03376,"Effect of Binary Organic Spacer Ratios on Crystallinity, Optical Performance, and Stability of 2D/3D Hybrid Perovskite Films: A GIWAXS and Spectroscopic Study",ACS Applied Energy Materials,journal,2026-01-05,article,en,,,,,Lawrence Berkeley National Laboratory,0,closed,1
10.1038/s44287-025-00247-6,10.1038/s44287-025-00247-6,Research on Energy and Chemical Engineering at Ulsan National Institute of Science and Technology,Nature Reviews Electrical Engineering,journal,2026-01-05,article,en,,,,,Ulsan National,0,closed,0
10.1063/5.0293204,10.1063/5.0293204,Observation of the slower thermalization process with increasing IA in CsPbIxBr3−x perovskite quantum dots for wider bandgap solar cell absorber,Applied Physics Letters,journal,2026-01-05,article,en,,,,,Hohai University,0,closed,0
10.1002/smll.202512001,10.1002/smll.202512001,Ion Irradiation of Halide Perovskites: Role of Defect Engineering for Enhanced Performance,Small,journal,2026-01-05,article,en,,,,,Gns Science,0,hybrid,1
10.1016/j.orgel.2026.107372,10.1016/j.orgel.2026.107372,Improving the performance of perovskite solar cells by using organic small molecule as interfacial layers,Organic Electronics,journal,2026-01-05,article,en,,,,,Changchun,0,closed,0
10.1557/s43578-025-01764-8,10.1557/s43578-025-01764-8,Nanoscale imaging of local electrical behavior in halide perovskites,Journal of materials research/Pratt's guide to venture capital sources,journal,2026-01-05,article,en,,,,,University Of California Davis,0,hybrid,0
10.5281/zenodo.18149628,10.5281/zenodo.18149628,"The Solar Singularity: Economic Asymmetries, Technological Convergence, and the GridForming Horizon (2025-2030)",Zenodo (CERN European Organization for Nuclear Research),repository,2026-01-05,article,en,,,,,University Of Twente,0,green,0
10.5281/zenodo.18149627,10.5281/zenodo.18149627,"The Solar Singularity: Economic Asymmetries, Technological Convergence, and the GridForming Horizon (2025-2030)",Zenodo (CERN European Organization for Nuclear Research),repository,2026-01-05,article,en,,,,,University Of Twente,0,green,0
10.1002/aenm.202505418,10.1002/aenm.202505418,Resonance‐Hybridized Molecule Driven Perovskite Surface Sulfidation and Electron‐Transport Bridging for Efficient and Stable Inverted Perovskite Solar Cells,Advanced Energy Materials,journal,2026-01-06,article,en,,,,,Guilin University Of Electronic Technology,8,closed,0
10.1038/s41566-025-01819-6,10.1038/s41566-025-01819-6,Silicon nitride nanocomposites at the buried interface for stable perovskite solar cells,Nature Photonics,journal,2026-01-06,article,en,,,,,Zhejiang University,4,closed,0
10.1016/j.matlet.2026.140058,10.1016/j.matlet.2026.140058,Enhanced photovoltaic performance of perovskite solar cells via biomass-derived porous carbon as passivator,Materials Letters,journal,2026-01-06,article,en,,,,,Nanning Normal University,2,closed,0
10.1021/acsami.5c22974,10.1021/acsami.5c22974,Synergistic Dual-Halide Anion Engineering for Efficient Interface Passivation in 1.68 eV Wide-Bandgap Perovskite Solar Cells for Indoor Photovoltaics,ACS Applied Materials & Interfaces,journal,2026-01-06,article,en,,,,,Nanjing University Of Posts And Telecommunications,2,green,1
10.3389/fmats.2025.1669229,10.3389/fmats.2025.1669229,"Data-driven AI approaches for screening high-efficiency, stable, and lead-free perovskite photovoltaic materials: a review",Frontiers in Materials,journal,2026-01-06,article,en,,,,,Xijing University,2,gold,0
10.1007/s40843-025-3795-x,10.1007/s40843-025-3795-x,Synergistic additive engineering with sulfur-terminated Ti3C2Tx MXene towards efficient and stable perovskite solar cells,Science China Materials,journal,2026-01-06,article,en,,,,,,2,closed,0
10.1021/acs.chemmater.5c02724,10.1021/acs.chemmater.5c02724,Extended Dual-Functional Engineering for High-Performance 2D Dion–Jacobson CsPbI 3 Perovskite Solar Cells with Enhanced Stability,Chemistry of Materials,journal,2026-01-06,article,en,,,,,Henan Agricultural University,1,closed,0
10.1016/j.electacta.2026.148149,10.1016/j.electacta.2026.148149,Optimizing CuSCN incorporation as carbon electrode additive for enhanced interfaces in ambient-processed perovskite solar cells,Electrochimica Acta,journal,2026-01-06,article,en,,,,,Shizuoka University,1,closed,0
10.1002/aenm.202506649,10.1002/aenm.202506649,Adaptive O 2 Activation on a Molecular Platform: Promoting Spiro‐OMeTAD Doping for High Efficiency Carbon‐Based Perovskite Solar Cells,Advanced Energy Materials,journal,2026-01-06,article,en,,,,,Anhui University,0,closed,0
impact of mapbi3 phase transitions on solar cell performance everything you need to know about ab initio methods in device performance|baranek,,Impact of MAPbI3 Phase Transitions on Solar Cell Performance: Everything you need to know about ab-initio methods in device performance,HAL (Le Centre pour la Communication Scientifique Directe),repository,2026-01-06,preprint,en,,,,,,0,closed,0
10.1038/s41467-025-68231-0,10.1038/s41467-025-68231-0,Thermotropic liquid-assisted interface management enables efficient and stable perovskite solar cells and modules,Nature Communications,journal,2026-01-07,article,en,,,,,Tan Kah Kee Innovation Laboratory,4,gold,1
10.1002/anie.202520252,10.1002/anie.202520252,Dual Modification Strategy of Ionic Liquid for Durable Perovskite Photovoltaics,Angewandte Chemie International Edition,journal,2026-01-07,article,en,,,,,Ningbo University,3,bronze,0
10.1021/acsami.5c24756,10.1021/acsami.5c24756,500+ FACs Perovskite Solar Cells under Long-Term Stability Testing,ACS Applied Materials & Interfaces,journal,2026-01-07,article,en,,,,,University Of Ljubljana,2,hybrid,0
10.1002/aenm.202505447,10.1002/aenm.202505447,Bias‐Free Solar‐To‐Hydrogen Peroxide Production Using Nanoporous BiVO 4 ‐Based Photoanode With Atomic Layer Deposited SnO 2,Advanced Energy Materials,journal,2026-01-07,article,en,,,,,Seoul National University,2,closed,0
10.1021/acs.jpca.5c05635,10.1021/acs.jpca.5c05635,Adaptive Transfer Crystal Graph Convolutional Networks for Accelerated Discovery of Organic Perovskite Photovoltaic Materials,The Journal of Physical Chemistry A,journal,2026-01-07,article,en,,,,,Changchun University Of Science And Technology,1,closed,0
10.1021/acsami.5c23195,10.1021/acsami.5c23195,The Multisite Interactions Based on the Long-Chain Functionalized Ionic Liquids for Efficient Regulation of High-Quality Perovskite Films and Solar Cells in Air,ACS Applied Materials & Interfaces,journal,2026-01-07,article,en,,,,,,1,closed,0
10.1002/ange.202520252,10.1002/ange.202520252,Dual Modification Strategy of Ionic Liquid for Durable Perovskite Photovoltaics,Angewandte Chemie,journal,2026-01-07,article,en,,,,,Ningbo University,1,closed,0
10.1021/acsami.5c20729,10.1021/acsami.5c20729,Understanding and Mitigating Perovskite Morphology-Induced Performance Degradation in Industrial-Textured Perovskite/Silicon Tandem Solar Cells,ACS Applied Materials & Interfaces,journal,2026-01-07,article,en,,,,,Next Generation Technology (united States),1,closed,0
10.1021/acsenergylett.5c03612,10.1021/acsenergylett.5c03612,Photoelectrochemical Reduction of Carbon Dioxide to Methanol on a ZnTe Electrode Modified with a N-Doped Carbon Thin Layer,ACS Energy Letters,journal,2026-01-07,article,en,,,,,Wuhan National Laboratory For Optoelectronics,1,closed,0
10.1080/15421406.2025.2612123,10.1080/15421406.2025.2612123,Controlling crystallization temperature and morphology of FAPbI 3 thin films via solvent engineering,Molecular Crystals and Liquid Crystals,journal,2026-01-07,article,en,,,,,Japan Synchrotron Radiation Research Institute,1,closed,0
10.1016/j.rineng.2026.109031,10.1016/j.rineng.2026.109031,"Cu-BTC MOF/MoO₃, the first nano-composite based on the tilia plant, as a hole-transport layer in carbon-based perovskite solar cells in ambient conditions",Results in Engineering,journal,2026-01-07,article,en,,,,,Shahid Bahonar University Of Kerman,1,gold,0
10.1142/s0217979226500360,10.1142/s0217979226500360,Repurposing halide perovskites for coupled photovoltaic and thermoelectric energy conversion,International Journal of Modern Physics B,journal,2026-01-07,article,en,,,,,Ucsi University,0,closed,0
10.1021/acsaem.5c03353,10.1021/acsaem.5c03353,Octylammonium Spacer-Driven Enhanced Stability in Quasi-Two-Dimensional Perovskite Solar Cells Fabricated under Ambient Conditions,ACS Applied Energy Materials,journal,2026-01-07,article,en,,,,,Bennett University,0,closed,1
10.1016/j.cocom.2026.e01210,10.1016/j.cocom.2026.e01210,First-principles investigation of multifunctional properties of Ba 2 YbRuO 6 double perovskite for optoelectronic and photovoltaic applications,Computational Condensed Matter,journal,2026-01-07,article,en,,,,,National,0,closed,0
10.1088/1361-6463/ae34bf,10.1088/1361-6463/ae34bf,Three-dimensional opto-electro-thermal coupled modeling and thermal optimization of perovskite solar cells using aluminum nitride interface layers,Journal of Physics D Applied Physics,journal,2026-01-07,article,en,,,,,Shenzhen University,0,closed,0
10.1051/epjconf/202634501038/pdf,10.1051/epjconf/202634501038/pdf,Effect of perovskite absorber thickness and working temperature on the hematite-based ETL in PSCs,Springer Link (Chiba Institute of Technology),repository,2026-01-07,article,en,,,,,University Of North Texas,0,green,0
10.48550/arxiv.2601.03737,10.48550/arxiv.2601.03737,Impact of MAPbI3 Phase Transitions on Solar Cell Performance,arXiv (Cornell University),repository,2026-01-07,preprint,en,,,,,International Planned Parenthood Federation,0,green,1
impact of mapbi3 phase transitions on solar cell performance|baranek,,Impact of MAPbI3 Phase Transitions on Solar Cell Performance,arXiv (Cornell University),repository,2026-01-07,preprint,en,,,,,,0,green,0
10.1126/science.aea8228,10.1126/science.aea8228,Molecular press annealing enables robust perovskite solar cells,Science,journal,2026-01-08,article,en,,,,,Xiamen University,28,closed,1
10.1126/science.aea0656,10.1126/science.aea0656,Multivalent ligands regulate dimensional engineering for inverted perovskite solar modules,Science,journal,2026-01-08,article,en,,,,,King Abdullah University Of Science And Technology,26,green,1
10.1038/s41467-025-68207-0,10.1038/s41467-025-68207-0,Anti-aggregation self-assembled monolayers enable high-performance and scalable perovskite solar cells,Nature Communications,journal,2026-01-08,article,en,,,,,Yangzhou University,23,gold,1
10.1038/s41598-025-34000-8,10.1038/s41598-025-34000-8,"Exploring optoelectronic and photovoltaic properties of Be3MF3 (M = P, As, Sb) perovskites via machine learning and numerical simulation",Scientific Reports,journal,2026-01-08,article,en,,,,,Gopalganj Science And Technology University,9,gold,0
10.1007/s10853-025-11886-3,10.1007/s10853-025-11886-3,"2D layered perovskites: stability, tunability, and their role in next-generation solar energy conversion",Journal of Materials Science,journal,2026-01-08,article,en,,,,,,7,closed,0
10.1016/j.cocom.2025.e01202,10.1016/j.cocom.2025.e01202,"Evaluation of chalcogenide perovskites BaHfS3 for charge transport in energy conversion applications: Solar cells, photocatalytic water splitting and thermoelectric",Computational Condensed Matter,journal,2026-01-08,article,en,,,,,Mohammed V University,7,closed,0
10.1016/j.cjph.2026.01.009,10.1016/j.cjph.2026.01.009,"Synergistic first-principles and SCAPS-1D study of halide-site engineered Sr₃BiX₃ (X = I, Br, and Cl) perovskites for optoelectronic applications",Chinese Journal of Physics,journal,2026-01-08,article,en,,,,,University Of Central Florida,6,closed,0
10.1021/acsami.5c23138,10.1021/acsami.5c23138,Device Architecture for Perovskite Photovoltaics,ACS Applied Materials & Interfaces,journal,2026-01-08,article,en,,,,,The University Of Texas At Arlington,4,closed,1
10.1021/acsenergylett.5c03255,10.1021/acsenergylett.5c03255,Crystallization Control in Thermally Evaporated Perovskite Solar Cells and Light-Emitting Diodes,ACS Energy Letters,journal,2026-01-08,article,en,,,,,Nanjing Tech University,4,closed,1
10.1002/smll.202513111,10.1002/smll.202513111,Enhancing Halogen Phase Synchronous Crystallization Enables High‐Performance Wide‐Bandgap Perovskite Photovoltaics,Small,journal,2026-01-08,article,en,,,,,Rex Medical (united States),3,bronze,1
10.1016/j.chphi.2026.101006,10.1016/j.chphi.2026.101006,Synthesis and characterization of metal oxide based electron transport materials for solar cells,Chemical Physics Impact,journal,2026-01-08,article,en,,,,,Khwaja Fareed University Of Engineering And Information Technology,3,gold,0
10.1364/oe.582440,10.1364/oe.582440,Doping effect on the electronic and optical properties of all-inorganic CsGeBr 3-x I x,Optics Express,journal,2026-01-08,article,en,,,,,,2,gold,0
10.1016/j.mtener.2026.102193,10.1016/j.mtener.2026.102193,Defect density management for efficient inorganic perovskite photovoltaics,Materials Today Energy,journal,2026-01-08,article,en,,,,,Jilin Normal University,2,closed,0
10.1016/j.cej.2026.172779,10.1016/j.cej.2026.172779,Multifunctional ionic liquids dual-interface passivation for HTL-free carbon-based perovskite solar cells with fill factor exceeding 82%,Chemical Engineering Journal,journal,2026-01-08,article,en,,,,,Beihang University,2,closed,0
10.1016/j.jcis.2026.139852,10.1016/j.jcis.2026.139852,Bifunctional modification towards LaNiO3/Perovskite interface for enhanced performance in perovskite solar cells,Journal of Colloid and Interface Science,journal,2026-01-08,article,en,,,,,Zhejiang University,2,closed,0
